data,descricao,categoria,valor
2025-03-02,Projeto design,Receita,1500.00
2025-03-05,Aluguel,Moradia,-1200.00
2025-03-08,Supermercado,Alimentação,-420.00
2025-03-10,Ifood,Alimentação,-70.00
2025-03-12,Transferência poupança,Investimento,-300.00
2025-03-15,Consultoria,Receita,2000.00
2025-03-18,Farmacia,Saúde,-45.00
2025-03-20,Uber,Transporte,-60.00
2025-03-22,Conta de luz,Moradia,-130.00
2025-03-25,Ifood,Alimentação,-55.00
2025-03-28,Projeto design,Receita,1500.00
2025-03-30,Reserva emergência,Investimento,-400.00
